99,133,70,132,74,553,112,552
108,597,70,595,75,547,112,548
120,642,76,649,70,595,109,595
154,671,97,691,76,646,117,641
649,679,646,710,97,689,154,669
885,684,885,709,645,706,650,677
1025,696,1027,713,876,707,882,684
1146,694,1147,710,1019,710,1023,696
1207,678,1217,704,1145,709,1145,694
1219,654,1243,673,1215,702,1206,677
1223,517,1254,517,1242,674,1219,656
1220,467,1251,467,1252,518,1223,517
1195,459,1213,434,1251,468,1219,466
1170,459,1169,432,1213,435,1195,459
1141,454,1150,429,1172,434,1170,461
1128,435,1139,424,1150,430,1141,451
1124,413,1140,412,1140,426,1129,434
1134,394,1148,402,1139,414,1124,412
1161,392,1163,406,1144,404,1134,394
1183,391,1183,404,1161,404,1160,392
1205,378,1212,396,1180,401,1180,389
1224,354,1237,364,1211,395,1202,379
1227,201,1257,202,1252,363,1224,354
1224,352,1250,361,1231,370,1220,357
1215,76,1248,75,1256,204,1227,202
1174,39,1205,24,1247,78,1215,77
1112,43,1110,16,1203,25,1174,39
949,43,949,17,1111,17,1114,42
912,74,885,46,950,19,950,46
892,114,845,89,887,47,914,72
802,362,765,344,848,88,892,112
772,407,749,387,767,341,804,361
720,434,714,398,752,382,775,408
669,441,662,403,716,398,722,432
536,446,535,411,665,404,672,441
452,435,465,404,538,412,535,446
434,399,462,388,467,403,452,434
435,361,458,360,461,391,431,401
444,312,463,321,457,364,434,361
482,284,495,302,462,324,444,312
544,277,545,294,492,302,480,283
629,279,630,295,544,292,544,277
680,274,683,290,625,294,629,279
722,256,735,270,684,290,678,274
755,212,770,217,732,267,720,256
756,169,775,172,767,217,755,212
754,96,777,100,774,175,756,171
717,52,753,32,777,101,752,98
222,42,222,8,752,32,717,51
131,59,124,27,222,9,222,45
99,131,70,131,126,28,134,59
70,127,99,128,111,364,74,370
210,516,247,517,249,556,215,561
209,517,246,517,240,316,202,325
204,324,194,202,232,197,237,319
194,203,187,153,227,149,229,200
187,152,207,134,232,137,225,152
205,134,242,124,258,137,229,139
241,124,605,142,596,157,250,137
604,142,617,161,597,167,594,152
617,161,614,187,596,184,596,161
614,183,600,204,585,191,599,182
599,201,577,209,567,192,588,192
578,209,454,205,452,185,572,194
455,204,395,216,390,194,455,186
397,215,352,234,330,211,393,195
351,234,326,267,292,253,334,211
327,264,312,360,285,360,295,252
313,359,320,426,292,431,286,354
317,423,357,477,330,497,292,424
354,476,395,507,379,529,329,489
391,507,460,523,456,549,380,526
456,524,542,527,540,547,450,543
539,527,668,529,667,551,540,544
665,529,770,499,773,534,662,550
769,501,825,469,835,507,765,532
821,473,860,428,878,437,827,506
859,427,957,169,972,170,875,439
957,168,982,137,992,155,969,173
981,137,1012,127,1012,150,990,157
1010,129,1053,126,1052,149,1009,150
1052,127,1114,136,1102,152,1049,146
1112,135,1128,165,1112,174,1096,148
1127,164,1131,248,1109,243,1112,172
1133,244,1126,307,1100,302,1109,239
1126,304,1117,330,1094,314,1102,298
1115,329,1090,337,1079,323,1095,312
1091,337,1072,351,1052,338,1082,321
1074,352,1057,374,1035,364,1058,337
1059,371,1049,409,1029,403,1038,357
1047,407,1049,451,1035,451,1030,399
1046,449,1075,481,1054,494,1031,441
1072,478,1139,507,1122,529,1051,487
1135,506,1147,534,1129,539,1117,518
1146,529,1145,574,1125,571,1129,528
1145,569,1139,611,1120,593,1125,563
1139,608,1112,629,1102,601,1125,589
1113,624,1060,636,1064,612,1104,601
1066,636,594,604,595,574,1070,615
593,604,302,605,308,566,595,577
307,601,234,594,262,563,312,564
235,592,216,561,247,551,262,564
581,600,600,601,603,577,576,577
713,48,723,56,753,34,744,31
639,678,662,678,661,706,630,707
231,583,240,594,267,566,254,556
452,432,479,442,492,408,464,404
479,441,532,446,536,409,486,407
524,444,549,444,560,412,526,408
