113,550,108,338
108,338,98,135
98,135,131,60
131,60,221,44
221,44,715,52
715,52,752,98
752,98,753,213
753,213,723,253
723,253,679,270
679,270,631,275
631,275,546,276
546,276,483,284
483,284,446,311
446,311,434,355
436,355,434,397
434,397,451,433
451,433,477,440
477,440,527,445
530,445,666,442
667,442,719,435
719,435,772,407
772,407,802,364
802,364,893,109
893,109,912,73
914,73,951,44
951,45,1030,41
1030,41,1112,45
1112,45,1172,40
1172,40,1181,48
1181,48,1211,76
1157,41,1179,42
1208,76,1212,90
1204,58,1210,83
1211,88,1226,205
1226,205,1224,351
1224,344,1221,356
1221,357,1217,361
1224,344,1217,358
1217,358,1209,370
1209,370,1198,378
1198,378,1184,382
1184,383,1166,387
1166,387,1154,387
1152,387,1137,388
1137,390,1128,397
1128,398,1122,410
1122,410,1124,420
1124,421,1129,431
1128,428,1132,440
1132,437,1136,446
1136,446,1149,455
1149,455,1171,458
1171,458,1191,460
1191,460,1212,465
1212,466,1219,477
1219,477,1220,488
1221,496,1221,503
1221,503,1220,650
1218,477,1221,495
1217,478,1222,512
1204,463,1217,475
1211,467,1221,486
1178,457,1202,462
1169,388,1147,389
1205,375,1182,385
1219,357,1208,373
1227,343,1209,375
1217,365,1202,381
1227,192,1227,215
1168,37,1189,45
941,44,960,38
939,48,960,43
906,80,922,55
882,123,897,92
516,442,541,445
639,274,626,275
693,264,668,275
756,199,749,221
731,245,719,257
748,84,759,110
701,49,726,62
204,48,239,47
128,71,149,48
99,153,100,118
1219,647,1206,678
1206,678,1148,688
1148,688,1027,694
1027,694,882,680
882,680,759,683
764,683,642,673
642,675,388,677
387,677,154,669
155,670,119,644
119,643,109,593
109,593,117,544
111,616,92,580
112,620,106,580
131,659,116,636
170,672,141,663
409,677,379,677
664,675,629,676
1050,695,1017,697
1168,684,1141,687
1219,634,1216,657
1214,662,1199,681
1209,675,1196,688
900,97,920,67
1006,40,1052,43
226,515,217,210
217,209,209,168
209,168,214,157
214,157,229,149
229,149,247,149
252,149,280,151
317,153,593,160
275,147,321,152
236,147,267,146
217,153,236,147
208,166,224,152
208,180,216,157
587,158,595,171
595,171,589,188
589,188,576,191
571,191,539,188
541,187,456,186
582,189,563,190
593,177,579,190
597,159,596,177
584,157,596,162
458,187,392,193
394,195,344,213
344,213,311,255
311,255,286,353
290,353,303,429
304,430,338,493
339,493,387,528
387,528,457,545
457,546,544,547
545,547,666,548
666,548,770,528
768,528,820,500
819,500,847,473
846,473,881,440
878,440,949,222
950,222,974,170
972,171,991,160
991,158,1015,143
1015,143,1051,143
1043,140,1074,145
1073,143,1106,158
1102,161,1106,175
1098,155,1104,171
1087,150,1106,171
1062,143,1085,146
1007,147,1030,140
972,175,987,163
986,160,1005,147
944,233,956,217
527,543,551,546
234,560,226,510
248,578,232,554
253,581,246,574
231,559,231,545
239,570,230,547
1106,174,1103,220
1107,168,1112,217
1112,213,1112,240
1115,240,1107,271
1112,234,1112,271
1110,270,1107,298
1106,298,1098,316
1111,285,1103,301
1101,311,1082,318
1109,300,1101,316
1101,307,1092,318
1083,318,1061,334
1059,334,1050,353
1049,353,1041,365
1059,339,1048,353
1043,361,1029,385
1032,378,1027,412
1027,412,1029,450
1029,449,1044,477
1044,477,1061,493
1061,493,1085,502
1086,503,1100,513
1078,498,1094,507
1100,510,1114,522
1114,522,1125,537
1107,514,1119,530
1122,530,1126,555
1126,556,1124,573
1126,545,1127,558
1126,555,1126,566
1123,571,1118,583
1127,555,1124,573
1125,554,1118,583
1122,577,1104,596
1107,595,1089,607
1094,603,1062,612
1065,612,1028,612
1077,609,1062,612
1119,587,1104,601
1110,592,1088,608
1072,607,1051,613
1031,612,597,575
1026,612,589,580
1028,614,589,585
589,585,304,585
304,584,263,584
264,584,256,580
256,580,246,573
266,585,252,575
279,588,254,578
